time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail
6863.0,59.42368967265645,17.063927122962653,1271,1,1,4495,6958.0,59.2485506913246,14.76371339462364,1271.0,2.0,1.0,11748.0
6452.0,61.97711287750703,15.455525213517,1272,1,1,4496,6477.0,61.921409811620926,14.90317774778322,1272.0,2.0,1.0,11749.0
6491.0,61.8481098999944,15.311487209181674,1272,1,1,4497,6513.0,61.7793364286124,14.697734979774737,1272.0,2.0,1.0,11750.0
6597.0,60.93528031384528,18.41346423710921,1272,1,1,4498,6624.0,60.8817451828844,14.60137355684896,1272.0,2.0,1.0,11751.0
6666.0,60.64341368167289,15.169073476066526,1272,1,1,4499,6729.0,60.51678452513461,14.721814996803746,1272.0,2.0,1.0,11752.0
6866.0,59.428924524848654,16.119491888242617,1272,1,1,4500,6960.0,59.25609255786971,14.663040978215006,1272.0,2.0,1.0,11753.0
6431.0,62.11040183418268,15.122987458396212,1273,1,1,4501,6434.0,62.09812003342861,14.74030655368461,1273.0,2.0,1.0,11754.0
6455.0,61.98769710860068,16.331398377830958,1273,1,1,4502,6480.0,61.93012970499856,14.808774378078372,1273.0,2.0,1.0,11755.0
6494.0,61.85738063736927,15.317062840078997,1273,1,1,4503,6515.0,61.79096187323805,13.685529997972216,1273.0,2.0,1.0,11756.0
6600.0,60.94298172333768,17.344184979599298,1273,1,1,4504,6627.0,60.89304163652801,14.812128129850324,1273.0,2.0,1.0,11757.0
6668.0,60.65616923506442,15.85085752123762,1273,1,1,4505,6732.0,60.52450877653306,14.634635393506342,1273.0,2.0,1.0,11758.0
6869.0,59.4388639874628,16.897972919746678,1273,1,1,4506,6963.0,59.26481765121584,14.95269295775864,1273.0,2.0,1.0,11759.0
6433.0,62.125470106100686,15.25289682393507,1274,1,1,4507,6437.0,62.10923387709207,14.678247265581073,1274.0,2.0,1.0,11760.0
6459.0,61.99403957482375,15.77802081376617,1274,1,1,4508,6483.0,61.939174497466574,14.83226981946178,1274.0,2.0,1.0,11761.0
6497.0,61.86702427045329,15.19481082444242,1274,1,1,4509,6518.0,61.79904857609129,13.899359405556703,1274.0,2.0,1.0,11762.0
6603.0,60.95158942216053,16.90306557011029,1274,1,1,4510,6630.0,60.90367782847768,14.999279763094782,1274.0,2.0,1.0,11763.0
6671.0,60.66479371140596,15.710403824641762,1274,1,1,4511,6735.0,60.53199200858551,14.600476305629458,1274.0,2.0,1.0,11764.0
6873.0,59.444632174997615,15.19036262762708,1274,1,1,4512,6965.0,59.27804852082993,13.914308534637094,1274.0,2.0,1.0,11765.0
6436.0,62.13658778038301,15.136996209066329,1275,1,1,4513,6441.0,62.11644827156577,14.92371356301912,1275.0,2.0,1.0,11766.0
6463.0,62.000326763445614,15.184078046194395,1275,1,1,4514,6486.0,61.94820398343621,14.399586888345304,1275.0,2.0,1.0,11767.0
