time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail,trace_id_front,trace_id_tail,c_id
7981.0,59.59914118737961,16.120278987852274,1473,1,4,4571,7996.0,59.55312947735754,14.500476903038091,1473.0,2.0,4.0,10095.0,225,241,77
7983.0,59.60570750780697,15.874950736708715,1474,1,4,4578,7998.0,59.56119668036256,14.160584926170204,1474.0,2.0,4.0,10102.0,225,241,77
7985.0,59.613342533903776,15.928694283399912,1475,1,4,4585,8001.0,59.56549544101881,14.862472659845492,1475.0,2.0,4.0,10109.0,225,241,77
7987.0,59.62113471305254,16.00271649831112,1476,1,4,4591,8003.0,59.57456379696159,14.060426479572744,1476.0,2.0,4.0,10115.0,225,241,77
7990.0,59.630218352068894,15.242308966308691,1477,1,4,4596,8007.0,59.582041506215305,14.507156792270669,1477.0,2.0,4.0,10120.0,225,241,77
7992.0,59.64410779322549,16.604741415029004,1478,1,4,4601,8011.0,59.58898065325927,14.876320599875193,1478.0,2.0,4.0,10125.0,225,241,77
7996.0,59.65562929515933,15.77618430190963,1479,1,4,4606,8015.0,59.600716744541,14.67892266518456,1479.0,2.0,4.0,10130.0,225,241,77
7999.0,59.66621817314361,15.628099594008072,1480,1,4,4611,8018.0,59.61136986096794,14.26831077881293,1480.0,2.0,4.0,10135.0,225,241,77
8002.0,59.68166101335525,16.350518328518234,1481,1,4,4616,8022.0,59.62317170063611,13.94983067180003,1481.0,2.0,4.0,10140.0,225,241,77
8005.0,59.68781177434903,15.271114334669914,1482,1,4,4621,8025.0,59.62973231062064,14.370061389366995,1482.0,2.0,4.0,10145.0,225,241,77
8007.0,59.69934804244769,16.088387480232562,1483,1,4,4626,8028.0,59.63637108718005,14.885141570715144,1483.0,2.0,4.0,10150.0,225,241,77
8011.0,59.707021975982805,15.061584970337798,1484,1,4,4631,8030.0,59.65201283600359,13.707799626587132,1484.0,2.0,4.0,10155.0,225,241,77
8015.0,59.72190670283396,15.220959128736848,1485,1,4,4636,8035.0,59.66196511179285,14.876623481696996,1485.0,2.0,4.0,10160.0,225,241,77
8020.0,59.73455565199899,15.62678672434734,1486,1,4,4640,8039.0,59.6790045689727,13.941484224030804,1486.0,2.0,4.0,10164.0,225,241,77
8025.0,59.74384357689597,15.389959906107482,1487,1,4,4644,8043.0,59.6926348531108,13.8685832687586,1487.0,2.0,4.0,10168.0,225,241,77
8028.0,59.75584479883287,15.774682455200525,1488,1,4,4649,8047.0,59.701112137039146,14.926240708460844,1488.0,2.0,4.0,10173.0,225,241,77
8032.0,59.76387292191951,15.196719798405136,1489,1,4,4654,8050.0,59.71457232203532,13.769032792993888,1489.0,2.0,4.0,10178.0,225,241,77
8035.0,59.77395555989291,15.497895939359786,1490,1,4,4659,8053.0,59.72146929165324,14.175992358375856,1490.0,2.0,4.0,10183.0,225,241,77
8038.0,59.78214104669343,15.219470906975792,1491,1,4,4664,8055.0,59.72767183817937,14.40530780499239,1491.0,2.0,4.0,10188.0,225,241,77
8041.0,59.7895286257922,15.170961479046149,1492,1,4,4669,8057.0,59.73467521943082,14.346969737849532,1492.0,2.0,4.0,10193.0,225,241,77
